gene	species	dN	dS	dNdS
ENSGACG00000001457_ENSGACT00000007460	sin	0.0031	0.0190	0.1641
ENSGACG00000001463_ENSGACT00000007452	ref	0.0002	0.1619	0.0010
ENSGACG00000001463_ENSGACT00000007452	pun	0.0000	0.0107	0.0010
ENSGACG00000001463_ENSGACT00000007452	sin	0.0001	0.0690	0.0010
ENSGACG00000001463_ENSGACT00000007460	ref	0.0001	0.1224	0.0010
ENSGACG00000001463_ENSGACT00000007460	pun	0.0000	0.0088	0.0010
ENSGACG00000001463_ENSGACT00000007460	sin	0.0001	0.0782	0.0010
ENSGACG00000001463_ENSGACT00000007469	ref	0.0002	0.2397	0.0010
ENSGACG00000001463_ENSGACT00000007469	pun	0.0000	0.0137	0.0010
ENSGACG00000001463_ENSGACT00000007469	sin	0.0000	0.0136	0.0010
ENSGACG00000001488_ENSGACT00000007595	ref	0.0415	0.1388	0.2986
ENSGACG00000001488_ENSGACT00000007595	pun	0.0081	0.0331	0.2430
ENSGACG00000001488_ENSGACT00000007595	sin	0.0059	0.0282	0.2086
ENSGACG00000001491_ENSGACT00000007595	ref	0.0034	0.2076	0.0164
ENSGACG00000001491_ENSGACT00000007595	pun	0.0000	0.0271	0.0010
ENSGACG00000001491_ENSGACT00000007595	sin	0.0000	0.0306	0.0010
ENSGACG00000001508_ENSGACT00000007604	ref	0.0304	0.2877	0.1058
ENSGACG00000001508_ENSGACT00000007604	pun	0.0128	0.0366	0.3483
ENSGACG00000001508_ENSGACT00000007604	sin	0.0024	0.0468	0.0504
ENSGACG00000001512_ENSGACT00000007637	ref	0.0119	0.0748	0.1597
ENSGACG00000001512_ENSGACT00000007637	pun	0.0000	0.0000	0.0970
ENSGACG00000001512_ENSGACT00000007637	sin	0.0038	0.0163	0.2335
ENSGACG00000001517_ENSGACT00000007643	ref	0.0206	0.2377	0.0866
ENSGACG00000001517_ENSGACT00000007643	pun	0.0001	0.0760	0.0010
ENSGACG00000001517_ENSGACT00000007643	sin	0.0000	0.0370	0.0010
ENSGACG00000001519_ENSGACT00000007637	ref	0.0770	0.1177	0.6544
ENSGACG00000001519_ENSGACT00000007637	pun	0.0014	0.0576	0.0252
ENSGACG00000001519_ENSGACT00000007637	sin	0.0030	0.0177	0.1716
ENSGACG00000001519_ENSGACT00000007643	ref	0.0590	0.1464	0.4029
ENSGACG00000001519_ENSGACT00000007643	pun	0.0037	0.0680	0.0540
ENSGACG00000001519_ENSGACT00000007643	sin	0.0050	0.0249	0.1994
ENSGACG00000001530_ENSGACT00000007666	ref	0.0003	0.3137	0.0010
ENSGACG00000001530_ENSGACT00000007666	pun	0.0000	0.0000	0.0971
ENSGACG00000001530_ENSGACT00000007666	sin	0.0000	0.0000	0.0010
ENSGACG00000001532_ENSGACT00000007696	ref	0.0876	0.1295	0.6768
ENSGACG00000001532_ENSGACT00000007696	pun	0.0100	0.0316	0.3156
ENSGACG00000001532_ENSGACT00000007696	sin	0.0305	0.0394	0.7748
ENSGACG00000001533_ENSGACT00000007704	ref	0.0608	0.0829	0.7335
ENSGACG00000001533_ENSGACT00000007704	pun	0.0188	0.0002	99.0000
ENSGACG00000001533_ENSGACT00000007704	sin	0.0187	0.0002	99.0000
ENSGACG00000001535_ENSGACT00000007709	ref	0.0000	0.0000	0.0010
ENSGACG00000001535_ENSGACT00000007709	pun	0.0000	0.0000	0.0010
ENSGACG00000001535_ENSGACT00000007709	sin	0.0000	0.0000	0.0010
ENSGACG00000001536_ENSGACT00000007716	ref	0.0210	0.0308	0.6803
ENSGACG00000001536_ENSGACT00000007716	pun	0.0022	0.0086	0.2606
ENSGACG00000001536_ENSGACT00000007716	sin	0.0041	0.0051	0.8116
ENSGACG00000001537_ENSGACT00000007720	ref	0.0026	0.0170	0.1548
ENSGACG00000001537_ENSGACT00000007720	pun	0.0026	0.0096	0.2726
ENSGACG00000001537_ENSGACT00000007720	sin	0.0000	0.0072	0.0010
ENSGACG00000001538_ENSGACT00000007744	ref	0.0179	0.0002	99.0000
ENSGACG00000001538_ENSGACT00000007744	pun	0.0113	0.0001	99.0000
ENSGACG00000001538_ENSGACT00000007744	sin	0.0000	0.0000	99.0000
ENSGACG00000001539_ENSGACT00000007783	ref	0.0112	0.1412	0.0796
ENSGACG00000001539_ENSGACT00000007783	pun	0.0014	0.0438	0.0315
ENSGACG00000001539_ENSGACT00000007783	sin	0.0013	0.0361	0.0370
ENSGACG00000001542_ENSGACT00000007783	ref	0.0204	0.1836	0.1113
ENSGACG00000001542_ENSGACT00000007783	pun	0.0000	0.0177	0.0010
ENSGACG00000001542_ENSGACT00000007783	sin	0.0066	0.0567	0.1156
ENSGACG00000001542_ENSGACT00000007789	ref	0.0314	0.1718	0.1828
ENSGACG00000001542_ENSGACT00000007789	pun	0.0000	0.0198	0.0010
ENSGACG00000001542_ENSGACT00000007789	sin	0.0086	0.0365	0.2348
ENSGACG00000001545_ENSGACT00000007830	ref	0.0292	0.1710	0.1710
ENSGACG00000001545_ENSGACT00000007830	pun	0.0032	0.0396	0.0821
ENSGACG00000001545_ENSGACT00000007830	sin	0.0097	0.0301	0.3229
ENSGACG00000001547_ENSGACT00000007830	ref	0.0176	0.1039	0.1691
ENSGACG00000001547_ENSGACT00000007830	pun	0.0036	0.0201	0.1770
ENSGACG00000001547_ENSGACT00000007830	sin	0.0035	0.0307	0.1143
ENSGACG00000001548_ENSGACT00000007830	ref	0.0498	0.1040	0.4786
ENSGACG00000001548_ENSGACT00000007830	pun	0.0168	0.0176	0.9548
ENSGACG00000001548_ENSGACT00000007830	sin	0.0093	0.0172	0.5428
ENSGACG00000001549_ENSGACT00000007851	ref	0.0359	0.0924	0.3881
ENSGACG00000001549_ENSGACT00000007851	pun	0.0046	0.0175	0.2633
ENSGACG00000001549_ENSGACT00000007851	sin	0.0054	0.0193	0.2785
ENSGACG00000001550_ENSGACT00000007861	ref	0.0001	0.0758	0.0010
ENSGACG00000001550_ENSGACT00000007861	pun	0.0000	0.0279	0.0010
ENSGACG00000001550_ENSGACT00000007861	sin	0.0030	0.0090	0.3326
ENSGACG00000001550_ENSGACT00000007886	ref	0.0094	0.0934	0.1010
ENSGACG00000001550_ENSGACT00000007886	pun	0.0000	0.0082	0.0010
ENSGACG00000001550_ENSGACT00000007886	sin	0.0060	0.0001	99.0000
ENSGACG00000001551_ENSGACT00000007901	ref	0.0258	0.0866	0.2987
ENSGACG00000001551_ENSGACT00000007901	pun	0.0000	0.0000	0.3439
ENSGACG00000001551_ENSGACT00000007901	sin	0.0060	0.0142	0.4263
ENSGACG00000001551_ENSGACT00000007909	ref	0.0380	0.0852	0.4462
ENSGACG00000001551_ENSGACT00000007909	pun	0.0000	0.0000	0.4351
ENSGACG00000001551_ENSGACT00000007909	sin	0.0000	0.0000	0.0010
ENSGACG00000001556_ENSGACT00000007923	ref	0.0002	0.1840	0.0010
ENSGACG00000001556_ENSGACT00000007923	pun	0.0000	0.0230	0.0010
ENSGACG00000001556_ENSGACT00000007923	sin	0.0000	0.0441	0.0010
ENSGACG00000001577_ENSGACT00000008051	ref	0.0072	0.1652	0.0437
ENSGACG00000001577_ENSGACT00000008051	pun	0.0018	0.0326	0.0546
ENSGACG00000001577_ENSGACT00000008051	sin	0.0019	0.0329	0.0579
ENSGACG00000001577_ENSGACT00000008059	ref	0.0012	0.1391	0.0084
ENSGACG00000001577_ENSGACT00000008059	pun	0.0000	0.0191	0.0010
ENSGACG00000001577_ENSGACT00000008059	sin	0.0000	0.0192	0.0010
ENSGACG00000001595_ENSGACT00000008126	ref	0.0381	0.1769	0.2155
ENSGACG00000001595_ENSGACT00000008126	pun	0.0091	0.1412	0.0642
ENSGACG00000001595_ENSGACT00000008126	sin	0.0177	0.1132	0.1566
ENSGACG00000001602_ENSGACT00000008156	ref	0.0002	0.1829	0.0010
ENSGACG00000001602_ENSGACT00000008156	pun	0.0000	0.0300	0.0010
ENSGACG00000001602_ENSGACT00000008156	sin	0.0001	0.0926	0.0010
ENSGACG00000001607_ENSGACT00000008156	ref	0.0048	0.2261	0.0213
ENSGACG00000001607_ENSGACT00000008156	pun	0.0025	0.0603	0.0407
ENSGACG00000001607_ENSGACT00000008156	sin	0.0001	0.0528	0.0010
ENSGACG00000001609_ENSGACT00000008156	ref	0.0272	0.0842	0.3227
ENSGACG00000001609_ENSGACT00000008156	pun	0.0076	0.0134	0.5641
ENSGACG00000001609_ENSGACT00000008156	sin	0.0080	0.0118	0.6795
ENSGACG00000001620_ENSGACT00000008235	ref	0.0274	0.1899	0.1443
ENSGACG00000001620_ENSGACT00000008235	pun	0.0029	0.0128	0.2253
ENSGACG00000001620_ENSGACT00000008235	sin	0.0038	0.0267	0.1436
ENSGACG00000001638_ENSGACT00000008235	ref	0.0241	0.0435	0.5535
ENSGACG00000001638_ENSGACT00000008235	pun	0.0027	0.0080	0.3368
ENSGACG00000001638_ENSGACT00000008235	sin	0.0084	0.0220	0.3825
ENSGACG00000001640_ENSGACT00000008260	ref	0.0369	0.0492	0.7507
ENSGACG00000001640_ENSGACT00000008260	pun	0.0049	0.0000	99.0000
ENSGACG00000001640_ENSGACT00000008260	sin	0.0062	0.0101	0.6159
ENSGACG00000001645_ENSGACT00000007707	ref	0.0000	0.0000	0.0010
ENSGACG00000001645_ENSGACT00000007707	pun	0.0000	0.0000	0.0010
ENSGACG00000001645_ENSGACT00000007707	sin	0.0000	0.0000	0.0010
ENSGACG00000001646_ENSGACT00000007707	ref	0.0017	0.0081	0.2097
ENSGACG00000001646_ENSGACT00000007707	pun	0.0017	0.0000	99.0000
ENSGACG00000001646_ENSGACT00000007707	sin	0.0000	0.0000	0.0010
ENSGACG00000001651_ENSGACT00000007722	ref	0.0057	0.0001	99.0000
ENSGACG00000001651_ENSGACT00000007722	pun	0.0000	0.0000	1.9988
ENSGACG00000001651_ENSGACT00000007722	sin	0.0040	0.0000	99.0000
ENSGACG00000001652_ENSGACT00000007722	ref	0.0016	0.0308	0.0530
ENSGACG00000001652_ENSGACT00000007722	pun	0.0000	0.0000	0.7646
ENSGACG00000001652_ENSGACT00000007722	sin	0.0000	0.0000	99.0000
ENSGACG00000001656_ENSGACT00000007732	ref	0.0217	0.1408	0.1543
ENSGACG00000001656_ENSGACT00000007732	pun	0.0088	0.0325	0.2697
ENSGACG00000001656_ENSGACT00000007732	sin	0.0056	0.0161	0.3490
ENSGACG00000001658_ENSGACT00000007758	ref	0.0196	0.1475	0.1331
ENSGACG00000001658_ENSGACT00000007758	pun	0.0113	0.0539	0.2092
ENSGACG00000001658_ENSGACT00000007758	sin	0.0104	0.0253	0.4124
ENSGACG00000001658_ENSGACT00000007765	ref	0.0197	0.1486	0.1328
ENSGACG00000001658_ENSGACT00000007765	pun	0.0113	0.0542	0.2093
ENSGACG00000001658_ENSGACT00000007765	sin	0.0105	0.0255	0.4111
ENSGACG00000001659_ENSGACT00000008265	ref	0.0136	0.1596	0.0852
ENSGACG00000001659_ENSGACT00000008265	pun	0.0000	0.0044	0.0010
ENSGACG00000001659_ENSGACT00000008265	sin	0.0026	0.0088	0.2988
ENSGACG00000001661_ENSGACT00000008299	ref	0.0347	0.1928	0.1803
ENSGACG00000001661_ENSGACT00000008299	pun	0.0000	0.0101	0.0010
ENSGACG00000001661_ENSGACT00000008299	sin	0.0106	0.0252	0.4223
ENSGACG00000001662_ENSGACT00000007765	ref	0.0223	0.4026	0.0555
ENSGACG00000001662_ENSGACT00000007765	pun	0.0215	0.0211	1.0183
ENSGACG00000001662_ENSGACT00000007765	sin	0.0130	0.0001	99.0000
ENSGACG00000001664_ENSGACT00000008299	ref	0.0178	0.1159	0.1535
ENSGACG00000001664_ENSGACT00000008299	pun	0.0083	0.0303	0.2748
ENSGACG00000001664_ENSGACT00000008299	sin	0.0065	0.0295	0.2217
ENSGACG00000001666_ENSGACT00000007777	ref	0.0275	0.2070	0.1329
ENSGACG00000001666_ENSGACT00000007777	pun	0.0019	0.0181	0.1023
ENSGACG00000001666_ENSGACT00000007777	sin	0.0072	0.0349	0.2058
ENSGACG00000001668_ENSGACT00000008299	ref	0.0137	0.1489	0.0923
ENSGACG00000001668_ENSGACT00000008299	pun	0.0017	0.0153	0.1111
ENSGACG00000001668_ENSGACT00000008299	sin	0.0028	0.0276	0.1022
ENSGACG00000001676_ENSGACT00000008305	ref	0.0001	0.0956	0.0010
ENSGACG00000001676_ENSGACT00000008305	pun	0.0001	0.0899	0.0010
ENSGACG00000001676_ENSGACT00000008305	sin	0.0000	0.0277	0.0010
ENSGACG00000001679_ENSGACT00000007797	ref	0.0001	0.0556	0.0010
ENSGACG00000001679_ENSGACT00000007797	pun	0.0000	0.0000	0.0010
ENSGACG00000001679_ENSGACT00000007797	sin	0.0088	0.0001	99.0000
ENSGACG00000001684_ENSGACT00000008319	ref	0.0057	0.1052	0.0539
ENSGACG00000001684_ENSGACT00000008319	pun	0.0000	0.0232	0.0010
ENSGACG00000001684_ENSGACT00000008319	sin	0.0000	0.0275	0.0010
ENSGACG00000001687_ENSGACT00000007816	ref	0.0315	0.0542	0.5809
ENSGACG00000001687_ENSGACT00000007816	pun	0.0061	0.0403	0.1515
ENSGACG00000001687_ENSGACT00000007816	sin	0.0157	0.0187	0.8400
ENSGACG00000001691_ENSGACT00000007816	ref	0.0001	0.1237	0.0010
ENSGACG00000001691_ENSGACT00000007816	pun	0.0001	0.0585	0.0010
ENSGACG00000001691_ENSGACT00000007816	sin	0.0001	0.0585	0.0010
ENSGACG00000001694_ENSGACT00000007835	ref	0.0001	0.0514	0.0010
ENSGACG00000001694_ENSGACT00000007835	pun	0.0001	0.0514	0.0010
ENSGACG00000001694_ENSGACT00000007835	sin	0.0001	0.0514	0.0010
ENSGACG00000001696_ENSGACT00000008337	ref	0.0153	0.0699	0.2195
ENSGACG00000001696_ENSGACT00000008337	pun	0.0023	0.0116	0.1955
ENSGACG00000001696_ENSGACT00000008337	sin	0.0030	0.0148	0.2011
ENSGACG00000001700_ENSGACT00000007816	ref	0.0002	0.2486	0.0010
ENSGACG00000001700_ENSGACT00000007816	pun	0.0001	0.0914	0.0010
ENSGACG00000001700_ENSGACT00000007816	sin	0.0001	0.0914	0.0010
ENSGACG00000001701_ENSGACT00000008356	ref	0.0206	0.2443	0.0841
ENSGACG00000001701_ENSGACT00000008356	pun	0.0050	0.0001	99.0000
ENSGACG00000001701_ENSGACT00000008356	sin	0.0025	0.0000	99.0000
ENSGACG00000001702_ENSGACT00000008356	ref	0.0030	0.1768	0.0169
ENSGACG00000001702_ENSGACT00000008356	pun	0.0001	0.0567	0.0010
ENSGACG00000001702_ENSGACT00000008356	sin	0.0000	0.0378	0.0010
ENSGACG00000001712_ENSGACT00000007848	ref	0.0097	0.1277	0.0760
ENSGACG00000001712_ENSGACT00000007848	pun	0.0000	0.0489	0.0010
ENSGACG00000001712_ENSGACT00000007848	sin	0.0000	0.0485	0.0010
ENSGACG00000001718_ENSGACT00000007871	ref	0.0326	0.1163	0.2801
ENSGACG00000001718_ENSGACT00000007871	pun	0.0071	0.0253	0.2795
ENSGACG00000001718_ENSGACT00000007871	sin	0.0096	0.0295	0.3233
ENSGACG00000001722_ENSGACT00000007894	ref	0.0002	0.2152	0.0010
ENSGACG00000001722_ENSGACT00000007894	pun	0.0000	0.0418	0.0010
ENSGACG00000001722_ENSGACT00000007894	sin	0.0001	0.0754	0.0010
ENSGACG00000001725_ENSGACT00000008374	ref	0.0174	0.1252	0.1387
ENSGACG00000001725_ENSGACT00000008374	pun	0.0035	0.0084	0.4185
ENSGACG00000001725_ENSGACT00000008374	sin	0.0018	0.0170	0.1036
ENSGACG00000001734_ENSGACT00000008374	ref	0.0064	0.2135	0.0298
ENSGACG00000001734_ENSGACT00000008374	pun	0.0013	0.0362	0.0352
ENSGACG00000001734_ENSGACT00000008374	sin	0.0013	0.0226	0.0558
ENSGACG00000001735_ENSGACT00000008374	ref	0.0189	0.1791	0.1055
ENSGACG00000001735_ENSGACT00000008374	pun	0.0000	0.0096	0.0010
ENSGACG00000001735_ENSGACT00000008374	sin	0.0027	0.0000	99.0000
ENSGACG00000001743_ENSGACT00000008389	ref	0.0124	0.2175	0.0572
ENSGACG00000001743_ENSGACT00000008389	pun	0.0000	0.0000	0.1579
ENSGACG00000001743_ENSGACT00000008389	sin	0.0000	0.0202	0.0010
ENSGACG00000001746_ENSGACT00000008408	ref	0.0018	0.1455	0.0127
ENSGACG00000001746_ENSGACT00000008408	pun	0.0000	0.0045	0.0010
ENSGACG00000001746_ENSGACT00000008408	sin	0.0000	0.0178	0.0010
ENSGACG00000001760_ENSGACT00000007944	ref	0.0001	0.0651	0.0010
ENSGACG00000001760_ENSGACT00000007944	pun	0.0000	0.0402	0.0010
ENSGACG00000001760_ENSGACT00000007944	sin	0.0000	0.0000	0.0090
ENSGACG00000001776_ENSGACT00000007975	ref	0.0001	0.1342	0.0010
ENSGACG00000001776_ENSGACT00000007975	pun	0.0000	0.0343	0.0010
ENSGACG00000001776_ENSGACT00000007975	sin	0.0016	0.1121	0.0145
ENSGACG00000001778_ENSGACT00000007975	ref	0.0043	0.1506	0.0286
ENSGACG00000001778_ENSGACT00000007975	pun	0.0015	0.0105	0.1474
ENSGACG00000001778_ENSGACT00000007975	sin	0.0015	0.0342	0.0444
ENSGACG00000001786_ENSGACT00000007975	ref	0.0157	0.1497	0.1046
ENSGACG00000001786_ENSGACT00000007975	pun	0.0081	0.1626	0.0499
ENSGACG00000001786_ENSGACT00000007975	sin	0.0001	0.0829	0.0010
ENSGACG00000001792_ENSGACT00000008486	ref	0.0095	0.2678	0.0355
ENSGACG00000001792_ENSGACT00000008486	pun	0.0010	0.0353	0.0277
ENSGACG00000001792_ENSGACT00000008486	sin	0.0000	0.0392	0.0010
ENSGACG00000001798_ENSGACT00000008050	ref	0.0058	0.1307	0.0444
ENSGACG00000001798_ENSGACT00000008050	pun	0.0018	0.0222	0.0806
ENSGACG00000001798_ENSGACT00000008050	sin	0.0018	0.0283	0.0622
ENSGACG00000001800_ENSGACT00000008486	ref	0.0127	0.1745	0.0729
ENSGACG00000001800_ENSGACT00000008486	pun	0.0015	0.0232	0.0625
ENSGACG00000001800_ENSGACT00000008486	sin	0.0028	0.0137	0.2026
ENSGACG00000001804_ENSGACT00000008486	ref	0.0506	0.1515	0.3338
ENSGACG00000001804_ENSGACT00000008486	pun	0.0131	0.0151	0.8656
ENSGACG00000001804_ENSGACT00000008486	sin	0.0130	0.0312	0.4173
ENSGACG00000001809_ENSGACT00000008050	ref	0.0070	0.1412	0.0498
ENSGACG00000001809_ENSGACT00000008050	pun	0.0000	0.0368	0.0010
ENSGACG00000001809_ENSGACT00000008050	sin	0.0000	0.0130	0.0010
ENSGACG00000001813_ENSGACT00000008486	ref	0.0770	0.0098	7.8648
ENSGACG00000001813_ENSGACT00000008486	pun	0.0206	0.0002	99.0000
ENSGACG00000001813_ENSGACT00000008486	sin	0.0263	0.0087	3.0298
ENSGACG00000001814_ENSGACT00000008095	ref	0.0098	0.1832	0.0536
ENSGACG00000001814_ENSGACT00000008095	pun	0.0012	0.0203	0.0599
ENSGACG00000001814_ENSGACT00000008095	sin	0.0048	0.0543	0.0888
ENSGACG00000001814_ENSGACT00000008103	ref	0.0088	0.2031	0.0435
ENSGACG00000001814_ENSGACT00000008103	pun	0.0000	0.0206	0.0010
ENSGACG00000001814_ENSGACT00000008103	sin	0.0012	0.0820	0.0149
ENSGACG00000001816_ENSGACT00000008503	ref	0.0132	0.1069	0.1239
ENSGACG00000001816_ENSGACT00000008503	pun	0.0031	0.0128	0.2429
ENSGACG00000001816_ENSGACT00000008503	sin	0.0000	0.0127	0.0010
ENSGACG00000001830_ENSGACT00000008500	ref	0.0001	0.0617	0.0010
ENSGACG00000001830_ENSGACT00000008500	pun	0.0000	0.0497	0.0010
ENSGACG00000001830_ENSGACT00000008500	sin	0.0000	0.0000	0.0010
ENSGACG00000001830_ENSGACT00000008561	ref	0.0241	0.1306	0.1846
ENSGACG00000001830_ENSGACT00000008561	pun	0.0000	0.0000	0.0010
ENSGACG00000001830_ENSGACT00000008561	sin	0.0000	0.0000	0.0010
ENSGACG00000001834_ENSGACT00000006020	ref	0.0000	0.0000	0.3190
ENSGACG00000001834_ENSGACT00000006020	pun	0.0000	0.0000	0.2861
ENSGACG00000001834_ENSGACT00000006020	sin	0.0000	0.0000	0.0010
ENSGACG00000001836_ENSGACT00000008103	ref	0.0174	0.1071	0.1626
ENSGACG00000001836_ENSGACT00000008103	pun	0.0015	0.0314	0.0464
ENSGACG00000001836_ENSGACT00000008103	sin	0.0016	0.0159	0.1014
ENSGACG00000001837_ENSGACT00000006032	ref	0.0000	0.0000	1.5445
ENSGACG00000001837_ENSGACT00000006032	pun	0.0000	0.0000	1.2175
ENSGACG00000001837_ENSGACT00000006032	sin	0.0000	0.0000	99.0000
ENSGACG00000001837_ENSGACT00000006055	ref	0.0355	0.0242	1.4673
ENSGACG00000001837_ENSGACT00000006055	pun	0.0100	0.0001	99.0000
ENSGACG00000001837_ENSGACT00000006055	sin	0.0000	0.0000	0.7009
ENSGACG00000001843_ENSGACT00000006055	ref	0.0000	0.0000	2.0000
ENSGACG00000001843_ENSGACT00000006055	pun	0.0000	0.0000	1.5592
ENSGACG00000001843_ENSGACT00000006055	sin	0.0000	0.0000	2.3545
ENSGACG00000001844_ENSGACT00000006123	ref	0.0199	0.1045	0.1908
ENSGACG00000001844_ENSGACT00000006123	pun	0.0041	0.0250	0.1644
ENSGACG00000001844_ENSGACT00000006123	sin	0.0016	0.0016	1.0163
ENSGACG00000001844_ENSGACT00000006133	ref	0.0295	0.1158	0.2544
ENSGACG00000001844_ENSGACT00000006133	pun	0.0059	0.0306	0.1931
ENSGACG00000001844_ENSGACT00000006133	sin	0.0018	0.0082	0.2170
ENSGACG00000001846_ENSGACT00000008593	ref	0.0040	0.1339	0.0296
ENSGACG00000001846_ENSGACT00000008593	pun	0.0022	0.0242	0.0889
ENSGACG00000001846_ENSGACT00000008593	sin	0.0021	0.0154	0.1362
ENSGACG00000001848_ENSGACT00000008123	ref	0.0188	0.1041	0.1804
ENSGACG00000001848_ENSGACT00000008123	pun	0.0052	0.0205	0.2547
ENSGACG00000001848_ENSGACT00000008123	sin	0.0000	0.0058	0.0010
ENSGACG00000001852_ENSGACT00000008128	ref	0.0421	0.1516	0.2780
ENSGACG00000001852_ENSGACT00000008128	pun	0.0000	0.0285	0.0010
ENSGACG00000001852_ENSGACT00000008128	sin	0.0000	0.0000	0.0010
ENSGACG00000001856_ENSGACT00000006138	ref	0.0135	0.2653	0.0510
ENSGACG00000001856_ENSGACT00000006138	pun	0.0033	0.1026	0.0321
ENSGACG00000001856_ENSGACT00000006138	sin	0.0033	0.0171	0.1952
ENSGACG00000001860_ENSGACT00000006154	ref	0.0000	0.0395	0.0010
ENSGACG00000001860_ENSGACT00000006154	pun	0.0000	0.0120	0.0010
ENSGACG00000001860_ENSGACT00000006154	sin	0.0000	0.0000	0.6084
ENSGACG00000001871_ENSGACT00000008167	ref	0.0256	0.1934	0.1324
ENSGACG00000001871_ENSGACT00000008167	pun	0.0047	0.0686	0.0683
ENSGACG00000001871_ENSGACT00000008167	sin	0.0094	0.0330	0.2859
ENSGACG00000001873_ENSGACT00000008593	ref	0.0278	0.1416	0.1961
ENSGACG00000001873_ENSGACT00000008593	pun	0.0020	0.0000	99.0000
ENSGACG00000001873_ENSGACT00000008593	sin	0.0023	0.0124	0.1854
ENSGACG00000001878_ENSGACT00000008593	ref	0.0177	0.1695	0.1045
ENSGACG00000001878_ENSGACT00000008593	pun	0.0049	0.0330	0.1498
ENSGACG00000001878_ENSGACT00000008593	sin	0.0034	0.0066	0.5216
ENSGACG00000001879_ENSGACT00000006225	ref	0.0062	0.1131	0.0552
ENSGACG00000001879_ENSGACT00000006225	pun	0.0008	0.0166	0.0492
ENSGACG00000001879_ENSGACT00000006225	sin	0.0000	0.0055	0.0010
ENSGACG00000001881_ENSGACT00000008183	ref	0.0464	0.1062	0.4365
ENSGACG00000001881_ENSGACT00000008183	pun	0.0238	0.0227	1.0473
ENSGACG00000001881_ENSGACT00000008183	sin	0.0027	0.0144	0.1882
ENSGACG00000001883_ENSGACT00000008603	ref	0.0077	0.0960	0.0806
