chr	start	stop	geneId
chrI	5994047	5996428	ENSGACG00000007320
chrI	6018754	6023816	ENSGACG00000007332
chrI	6024164	6025816	ENSGACG00000007361
chrI	6025809	6028332	ENSGACG00000007362
chrI	6029499	6043750	ENSGACG00000007374
chrI	6043981	6046211	ENSGACG00000007388
chrI	6051215	6056907	ENSGACG00000007395
chrI	6058473	6078705	ENSGACG00000007428
chrI	6156153	6173162	ENSGACG00000007440
chrI	6175780	6192506	ENSGACG00000007444
chrI	6212569	6230069	ENSGACG00000007464
chrI	6238093	6247439	ENSGACG00000007512
chrI	6240924	6244367	ENSGACG00000007517
chrI	6247563	6268040	ENSGACG00000007520
chrI	6275483	6283500	ENSGACG00000007587
chrI	6286234	6287340	ENSGACG00000007590
chrI	6289104	6291557	ENSGACG00000007598
chrI	6317607	6320180	ENSGACG00000007608
chrI	6335429	6346133	ENSGACG00000007613
chrI	6347476	6349306	ENSGACG00000007630
chrI	6352476	6383585	ENSGACG00000007649
chrI	6393052	6396839	ENSGACG00000007670
chrI	6402140	6409568	ENSGACG00000007672
chrI	6418725	6420495	ENSGACG00000007693
chrI	6425333	6436653	ENSGACG00000007695
chrI	6447567	6458574	ENSGACG00000007700
chrI	6462135	6464326	ENSGACG00000007708
chrI	6466982	6477250	ENSGACG00000007710
chrI	6481881	6503410	ENSGACG00000007721
chrI	6511734	6511805	ENSGACG00000021262
chrI	6605037	6631768	ENSGACG00000007728
chrI	6640991	6651419	ENSGACG00000007754
chrI	6654066	6678560	ENSGACG00000007783
chrI	6687268	6689579	ENSGACG00000007788
chrI	6693622	6710764	ENSGACG00000007795
chrI	6714119	6715735	ENSGACG00000007809
chrI	6718064	6718798	ENSGACG00000007825
chrI	6720069	6722357	ENSGACG00000007832
chrI	6723437	6725180	ENSGACG00000007837
chrI	6727108	6729998	ENSGACG00000007841
chrI	6731968	6733313	ENSGACG00000007856
chrI	6734517	6746121	ENSGACG00000007861
chrI	6747669	6752103	ENSGACG00000007877
chrI	6752520	6753655	ENSGACG00000007884
chrI	6753437	6762278	ENSGACG00000007887
chrI	6764679	6779076	ENSGACG00000007953
chrI	6781732	6785934	ENSGACG00000007960
chrI	6796661	6838886	ENSGACG00000007968
chrI	6849171	6855698	ENSGACG00000007985
chrI	6856298	6860872	ENSGACG00000008046
chrI	6880616	6885840	ENSGACG00000008058
chrI	6931621	6933268	ENSGACG00000008066
chrI	6939561	7017512	ENSGACG00000008068
chrI	7035985	7051144	ENSGACG00000008121
chrI	7123293	7198910	ENSGACG00000008129
chrI	7206194	7208852	ENSGACG00000008149
chrI	7210627	7216389	ENSGACG00000008154
chrI	7229169	7251962	ENSGACG00000008161
chrI	7256008	7269829	ENSGACG00000008165
chrI	7270450	7278357	ENSGACG00000008185
chrI	7283226	7286499	ENSGACG00000008191
chrI	7298583	7304898	ENSGACG00000008193
chrI	7320261	7323151	ENSGACG00000008198
chrI	7328505	7368435	ENSGACG00000008207
chrI	7373653	7394127	ENSGACG00000008224
chrI	7398313	7399619	ENSGACG00000008228
chrI	7407596	7409167	ENSGACG00000008233
chrI	7412089	7452558	ENSGACG00000008238
chrI	7457366	7459297	ENSGACG00000008254
chrI	7459598	7463661	ENSGACG00000008258
chrI	7464626	7473100	ENSGACG00000008263
chrI	7473993	7478420	ENSGACG00000008284
chrI	7481071	7483933	ENSGACG00000008318
chrI	7506752	7518535	ENSGACG00000008325
chrI	7525193	7530840	ENSGACG00000008330
chrI	7537742	7538943	ENSGACG00000008332
chrI	7539571	7541689	ENSGACG00000008339
chrI	7548254	7549258	ENSGACG00000008344
chrI	7568052	7569062	ENSGACG00000008351
chrI	7568682	7569872	ENSGACG00000008353
chrI	7693701	7728822	ENSGACG00000008355
chrI	7889209	7909248	ENSGACG00000008361
chrI	7910740	7911916	ENSGACG00000008380
chrI	7914969	7930981	ENSGACG00000008387
chrI	7934820	7958514	ENSGACG00000008413
chrI	7962027	7971063	ENSGACG00000008439
chrI	7990229	8004803	ENSGACG00000008448
chrI	8005365	8010356	ENSGACG00000008468
chrI	8011206	8014012	ENSGACG00000008485
chrI	8015514	8029059	ENSGACG00000008504
chrI	8029630	8036828	ENSGACG00000008566
chrI	8038163	8043026	ENSGACG00000008571
chrI	8043718	8048145	ENSGACG00000008584
chrI	8049649	8053112	ENSGACG00000008602
chrI	8054638	8057329	ENSGACG00000008604
chrI	8059377	8065543	ENSGACG00000008610
chrI	8071965	8076808	ENSGACG00000008619
chrI	8078022	8089954	ENSGACG00000008624
chrI	8090821	8093415	ENSGACG00000008625
chrI	8095388	8097101	ENSGACG00000008658
chrI	8098697	8112670	ENSGACG00000008673
chrI	8115148	8129170	ENSGACG00000008685
chrI	8133252	8143671	ENSGACG00000008718
chrI	8147486	8150781	ENSGACG00000008722
chrI	8165650	8165735	ENSGACG00000022237
chrI	8192579	8200131	ENSGACG00000008738
chrI	8223933	8254131	ENSGACG00000008742
chrI	8261005	8275185	ENSGACG00000008749
chrI	8276871	8280048	ENSGACG00000008759
chrI	8280621	8282671	ENSGACG00000008772
chrI	8285534	8295926	ENSGACG00000008790
chrI	8300325	8306844	ENSGACG00000008792
chrI	8332286	8364254	ENSGACG00000008799
chrI	8366094	8370957	ENSGACG00000008820
chrI	8376243	8377702	ENSGACG00000008825
chrI	8425159	8430749	ENSGACG00000008832
chrI	8432065	8434282	ENSGACG00000008883
chrI	8435673	8435808	ENSGACG00000022712
chrI	8436104	8436239	ENSGACG00000022692
chrI	8436268	8441465	ENSGACG00000008901
chrI	8441799	8444504	ENSGACG00000008962
chrI	8444784	8448109	ENSGACG00000008979
chrI	8451822	8460089	ENSGACG00000008988
chrI	8465582	8473391	ENSGACG00000008993
chrI	8476090	8505945	ENSGACG00000009009
chrI	8511802	8513830	ENSGACG00000009029
chrI	8522061	8523410	ENSGACG00000009032
chrI	8531725	8557817	ENSGACG00000009035
chrI	8563085	8587277	ENSGACG00000009060
chrI	8598417	8683492	ENSGACG00000009072
chrI	8807346	8808769	ENSGACG00000009080
chrI	8841657	8843525	ENSGACG00000009084
chrI	8846398	8857458	ENSGACG00000009089
chrI	8868541	8874831	ENSGACG00000009097
chrI	8878883	8884517	ENSGACG00000009109
chrI	8888964	8895055	ENSGACG00000009117
chrI	8945159	8953147	ENSGACG00000009125
chrI	8990734	9003965	ENSGACG00000009131
chrI	9014912	9020033	ENSGACG00000009158
chrI	9039816	9053073	ENSGACG00000009165
chrI	9056485	9056977	ENSGACG00000009171
chrI	9079375	9080560	ENSGACG00000009173
chrI	9087923	9090991	ENSGACG00000009176
chrI	9093404	9127716	ENSGACG00000009184
chrI	9136582	9145702	ENSGACG00000009193
chrI	9146644	9147892	ENSGACG00000009231
chrI	9149824	9155965	ENSGACG00000009235
chrI	9156769	9271889	ENSGACG00000009247
chrI	9251669	9251756	ENSGACG00000022532
chrI	9277937	9283005	ENSGACG00000009256
chrI	9372111	9398594	ENSGACG00000009257
chrI	9405558	9409559	ENSGACG00000009314
chrI	9410594	9415189	ENSGACG00000009336
chrI	9416542	9418666	ENSGACG00000009349
chrI	9432058	9434791	ENSGACG00000009363
chrI	9440566	9445829	ENSGACG00000009369
chrI	9471453	9536538	ENSGACG00000009383
chrI	9540760	9543200	ENSGACG00000009414
chrI	9547418	9551006	ENSGACG00000009417
chrI	9565710	9567599	ENSGACG00000009420
chrI	9571602	9572555	ENSGACG00000009424
chrI	9583289	9607326	ENSGACG00000009426
chrI	9612250	9622889	ENSGACG00000009437
chrI	9624719	9626302	ENSGACG00000009443
chrI	9628014	9635015	ENSGACG00000009446
chrI	9647731	9655011	ENSGACG00000009469
chrI	9661247	9664026	ENSGACG00000009491
chrI	9671745	9691503	ENSGACG00000009494
chrI	9728119	9744743	ENSGACG00000009502
chrI	9778025	9782447	ENSGACG00000009507
chrI	9784997	9792875	ENSGACG00000009539
chrI	9820631	9825162	ENSGACG00000009566
chrI	9827223	9833869	ENSGACG00000009589
chrI	9841045	9845083	ENSGACG00000009594
chrI	9859505	9873376	ENSGACG00000009600
chrI	9881906	9887467	ENSGACG00000009604
chrI	9904989	9916721	ENSGACG00000009610
chrI	9946972	9947370	ENSGACG00000009619
chrI	9970220	9972494	ENSGACG00000009621
chrI	9987030	9987446	ENSGACG00000009625
chrI	9989769	10015575	ENSGACG00000009629
chrI	10021233	10023610	ENSGACG00000009639
chrI	10024896	10024985	ENSGACG00000022167
chrI	10025385	10027987	ENSGACG00000009641
chrI	10033563	10039224	ENSGACG00000009656
chrI	10041926	10050822	ENSGACG00000009668
chrI	10052533	10056477	ENSGACG00000009693
chrI	10058716	10063111	ENSGACG00000009721
chrI	10066115	10068020	ENSGACG00000009726
chrI	10068625	10071846	ENSGACG00000009732
chrI	10073004	10076815	ENSGACG00000009741
chrI	10079573	10099211	ENSGACG00000009761
chrI	10135430	10157372	ENSGACG00000009773
chrI	10164662	10179419	ENSGACG00000009784
chrI	10182413	10186860	ENSGACG00000009786
chrI	10191860	10195486	ENSGACG00000009792
chrI	10204370	10214244	ENSGACG00000009801
chrI	10231017	10241564	ENSGACG00000009826
chrI	10244549	10246514	ENSGACG00000009834
chrI	10253450	10273957	ENSGACG00000009835
chrI	10281075	10283192	ENSGACG00000009838
chrI	10285095	10286791	ENSGACG00000009856
chrI	10288456	10297643	ENSGACG00000009859
chrI	10297828	10299792	ENSGACG00000009863
chrI	10299522	10309164	ENSGACG00000009864
chrI	10310774	10313861	ENSGACG00000009879
chrI	10314886	10316580	ENSGACG00000009884
chrI	10317288	10319752	ENSGACG00000009891
chrI	10339870	10341341	ENSGACG00000009912
chrI	10347827	10397652	ENSGACG00000009915
chrI	10403572	10406528	ENSGACG00000009936
chrI	10419585	10426594	ENSGACG00000009944
chrI	10430331	10430840	ENSGACG00000009948
chrI	10432077	10435613	ENSGACG00000009951
chrI	10436699	10471209	ENSGACG00000009957
chrI	10474952	10477158	ENSGACG00000009989
chrI	10479570	10483614	ENSGACG00000009999
chrI	10485392	10488958	ENSGACG00000010019
chrI	10490185	10491715	ENSGACG00000010023
chrI	10504397	10513501	ENSGACG00000010028
chrI	10516016	10546770	ENSGACG00000010092
chrI	10549265	10550449	ENSGACG00000010096
chrI	10551071	10559634	ENSGACG00000010105
chrI	10563627	10610954	ENSGACG00000010115
chrI	10566277	10580931	ENSGACG00000010151
chrI	10577198	10577284	ENSGACG00000022310
chrI	10577431	10577522	ENSGACG00000022250
chrI	10622823	10632442	ENSGACG00000010161
chrI	10633652	10634988	ENSGACG00000010170
chrI	10637588	10669617	ENSGACG00000010173
chrI	10790743	10791660	ENSGACG00000010208
chrI	10796015	10801576	ENSGACG00000010210
chrI	10806597	10807747	ENSGACG00000010220
chrI	10815494	10817708	ENSGACG00000010226
chrI	10827498	10838931	ENSGACG00000010238
chrI	10852625	10858407	ENSGACG00000010246
chrI	10863205	10864622	ENSGACG00000010251
chrI	10899874	10930164	ENSGACG00000010253
chrI	10949096	10950037	ENSGACG00000010259
chrI	10963702	10965115	ENSGACG00000010261
chrI	10991236	11011587	ENSGACG00000010268
chrI	11013390	11028466	ENSGACG00000010276
chrI	11031884	11038916	ENSGACG00000010302
chrI	11051681	11072066	ENSGACG00000010305
chrI	11089450	11091937	ENSGACG00000010309
chrI	11097570	11100717	ENSGACG00000010313
chrI	11101321	11106212	ENSGACG00000010316
chrI	11108039	11108515	ENSGACG00000010322
chrI	11113263	11124049	ENSGACG00000010323
chrI	11143189	11145160	ENSGACG00000010326
chrI	11150880	11161123	ENSGACG00000010329
chrI	11162030	11172424	ENSGACG00000010337
chrI	11231200	11235071	ENSGACG00000010342
chrI	11236148	11240271	ENSGACG00000010344
chrI	11238946	11245376	ENSGACG00000010349
chrI	11249941	11253814	ENSGACG00000010364
chrI	11255975	11276274	ENSGACG00000010371
chrI	11298669	11301247	ENSGACG00000010386
chrI	11302751	11320447	ENSGACG00000010389
chrI	11323395	11325913	ENSGACG00000010406
chrI	11326669	11331016	ENSGACG00000010410
chrI	11334800	11339589	ENSGACG00000010429
chrI	11341222	11344245	ENSGACG00000010435
chrI	11348434	11352596	ENSGACG00000010440
chrI	11362508	11392154	ENSGACG00000010444
chrI	11421553	11426337	ENSGACG00000010482
chrI	11431379	11444610	ENSGACG00000010488
chrI	11447952	11460719	ENSGACG00000010497
chrI	11462405	11464187	ENSGACG00000010514
chrI	11470463	11474811	ENSGACG00000010517
chrI	11475187	11476175	ENSGACG00000010543
chrI	11481937	11512555	ENSGACG00000010555
chrI	11555499	11563204	ENSGACG00000010573
chrI	11563941	11567846	ENSGACG00000010582
chrI	11569381	11570475	ENSGACG00000010645
chrI	11572329	11575964	ENSGACG00000010648
chrI	11577943	11586655	ENSGACG00000010665
chrI	11606089	11611150	ENSGACG00000010671
chrI	11616420	11630997	ENSGACG00000010675
chrI	11644284	11661666	ENSGACG00000010684
chrI	11663437	11665499	ENSGACG00000010692
chrI	11679597	11705181	ENSGACG00000010693
chrI	11826055	11858204	ENSGACG00000010697
chrI	11863758	11878785	ENSGACG00000010711
chrI	11888160	11891855	ENSGACG00000010730
chrI	11892349	11893940	ENSGACG00000010737
chrI	11894697	11902303	ENSGACG00000010741
chrI	11910413	11912840	ENSGACG00000010778
chrI	11918349	11922902	ENSGACG00000010789
chrI	11939542	12007395	ENSGACG00000010793
chrI	12060664	12063733	ENSGACG00000010795
chrI	12066724	12073640	ENSGACG00000010797
chrI	12078602	12082902	ENSGACG00000010818
chrI	12089091	12095620	ENSGACG00000010833
chrI	12100194	12108173	ENSGACG00000010843
chrI	12122025	12123902	ENSGACG00000010848
chrI	12149071	12149181	ENSGACG00000022540
chrI	12203971	12204064	ENSGACG00000022321
chrI	12204244	12204328	ENSGACG00000021352
chrI	12212078	12255108	ENSGACG00000010850
chrI	12359569	12361323	ENSGACG00000010854
chrI	12386601	12407452	ENSGACG00000010856
chrI	12408465	12411400	ENSGACG00000010870
chrI	12413444	12433807	ENSGACG00000010871
chrI	12428242	12433842	ENSGACG00000010876
chrI	12439062	12444465	ENSGACG00000010917
chrI	12443778	12454998	ENSGACG00000010927
chrI	12465673	12505759	ENSGACG00000010940
chrI	12519546	12537772	ENSGACG00000010951
chrI	12538815	12540710	ENSGACG00000010961
chrI	12541484	12583816	ENSGACG00000010966
chrI	12584619	12586455	ENSGACG00000010971
chrI	12586959	12589687	ENSGACG00000010984
chrI	12590585	12605038	ENSGACG00000011002
chrI	12613076	12616167	ENSGACG00000011018
chrI	12618953	12621189	ENSGACG00000011094
chrI	12623488	12625509	ENSGACG00000011096
chrI	12645741	12658585	ENSGACG00000011101
chrI	12667007	12695072	ENSGACG00000011112
chrI	12700352	12700977	ENSGACG00000011118
chrI	12710667	12719812	ENSGACG00000011119
chrI	12748064	12774414	ENSGACG00000011157
chrI	12777179	12785390	ENSGACG00000011167
chrI	12791447	12795262	ENSGACG00000011181
chrI	12798522	12803429	ENSGACG00000011190
chrI	12809565	12811214	ENSGACG00000011223
chrI	12818380	12822553	ENSGACG00000011230
chrI	12824861	12824946	ENSGACG00000022214
chrI	12825880	12826988	ENSGACG00000011249
chrI	12830334	12834155	ENSGACG00000011251
chrI	12843099	12848228	ENSGACG00000011259
chrI	12853935	12856342	ENSGACG00000011266
chrI	12857408	12859644	ENSGACG00000011279
chrI	12860318	12872105	ENSGACG00000011281
chrI	12874064	12883139	ENSGACG00000011291
chrI	12884556	12887961	ENSGACG00000011312
chrI	12890233	12892238	ENSGACG00000011316
chrI	12894091	12895396	ENSGACG00000011318
chrI	12904707	12905600	ENSGACG00000011320
chrI	12914311	12914718	ENSGACG00000011322
chrI	12917329	12918492	ENSGACG00000011325
