gene	species	dN	dS	dNdS
ENSGACG00000002604_ENSGACT00000013001	X	0.0043	0.1958	0.0221
ENSGACG00000002604_ENSGACT00000013001	Xprivate	0.0000	0.0000	99.0000
ENSGACG00000002604_ENSGACT00000013001	Y	0.0043	0.1958	0.0221
ENSGACG00000002604_ENSGACT00000013001	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000002611_ENSGACT00000012994	ref_chrXII	0.0000	0.0000	0.0010
ENSGACG00000002611_ENSGACT00000012994	sin	0.0085	0.0666	0.1276
ENSGACG00000002611_ENSGACT00000012994	sinprivate	0.0000	0.0000	1.6286
ENSGACG00000002611_ENSGACT00000012994	tym	0.0085	0.0800	0.1065
ENSGACG00000002611_ENSGACT00000012994	X	0.0128	0.0653	0.1952
ENSGACG00000002611_ENSGACT00000012994	Xprivate	0.0000	0.0000	0.0010
ENSGACG00000002611_ENSGACT00000012994	Y	0.0128	0.0653	0.1952
ENSGACG00000002611_ENSGACT00000012994	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000002613_ENSGACT00000012971	ref_chrXII	0.0000	0.0034	0.0010
ENSGACG00000002613_ENSGACT00000012971	sin	0.0043	0.0840	0.0518
ENSGACG00000002613_ENSGACT00000012971	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000002613_ENSGACT00000012971	tym	0.0050	0.0968	0.0518
ENSGACG00000002613_ENSGACT00000012971	X	0.0044	0.0944	0.0463
ENSGACG00000002613_ENSGACT00000012971	Xprivate	0.0000	0.0000	0.2100
ENSGACG00000002613_ENSGACT00000012971	Y	0.0044	0.0944	0.0463
ENSGACG00000002613_ENSGACT00000012971	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000002635_ENSGACT00000012959	ref_chrXII	0.0000	0.0000	0.0010
ENSGACG00000002635_ENSGACT00000012959	sin	0.0001	0.0594	0.0010
ENSGACG00000002635_ENSGACT00000012959	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000002635_ENSGACT00000012959	tym	0.0110	0.0919	0.1199
ENSGACG00000002635_ENSGACT00000012959	X	0.0001	0.0594	0.0010
ENSGACG00000002635_ENSGACT00000012959	Xprivate	0.0000	0.0000	0.0010
ENSGACG00000002635_ENSGACT00000012959	Y	0.0001	0.0594	0.0010
ENSGACG00000002635_ENSGACT00000012959	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000002639_ENSGACT00000012937	ref_chrXII	0.0000	0.0000	0.5271
ENSGACG00000002639_ENSGACT00000012937	sin	0.0375	0.1018	0.3681
ENSGACG00000002639_ENSGACT00000012937	sinprivate	0.0000	0.0000	0.2882
ENSGACG00000002639_ENSGACT00000012937	tym	0.0367	0.1037	0.3540
ENSGACG00000002639_ENSGACT00000012937	X	0.0383	0.0968	0.3963
ENSGACG00000002639_ENSGACT00000012937	Xprivate	0.0000	0.0000	37.8714
ENSGACG00000002639_ENSGACT00000012937	Y	0.0375	0.0963	0.3895
ENSGACG00000002639_ENSGACT00000012937	Yprivate	0.0000	0.0000	0.3311
ENSGACG00000002650_ENSGACT00000012876	ref_chrXII	0.0054	0.0001	99.0000
ENSGACG00000002650_ENSGACT00000012876	sin	0.0125	0.2345	0.0532
ENSGACG00000002650_ENSGACT00000012876	sinprivate	0.0000	0.0000	99.0000
ENSGACG00000002650_ENSGACT00000012876	tym	0.0229	0.2211	0.1036
ENSGACG00000002650_ENSGACT00000012876	X	0.0124	0.2432	0.0508
ENSGACG00000002650_ENSGACT00000012876	Xprivate	0.0000	0.0000	0.2406
ENSGACG00000002650_ENSGACT00000012876	Y	0.0124	0.2432	0.0508
ENSGACG00000002650_ENSGACT00000012876	Yprivate	0.0000	0.0000	0.0997
ENSGACG00000002655_ENSGACT00000012865	ref_chrXII	0.0000	0.0000	0.0010
ENSGACG00000002655_ENSGACT00000012865	sin	0.0001	0.0519	0.0010
ENSGACG00000002655_ENSGACT00000012865	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000002655_ENSGACT00000012865	tym	0.0000	0.0447	0.0010
ENSGACG00000002655_ENSGACT00000012865	X	0.0000	0.0447	0.0010
ENSGACG00000002655_ENSGACT00000012865	Xprivate	0.0000	0.0000	0.0010
ENSGACG00000002655_ENSGACT00000012865	Y	0.0000	0.0447	0.0010
ENSGACG00000002655_ENSGACT00000012865	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000002661_ENSGACT00000012846	ref_chrXII	0.0010	0.0059	0.1638
ENSGACG00000002661_ENSGACT00000012846	sin	0.0217	0.2414	0.0899
ENSGACG00000002661_ENSGACT00000012846	sinprivate	0.0000	0.0000	0.0401
ENSGACG00000002661_ENSGACT00000012846	tym	0.0232	0.2310	0.1004
ENSGACG00000002661_ENSGACT00000012846	X	0.0242	0.2375	0.1020
ENSGACG00000002661_ENSGACT00000012846	Xprivate	0.0000	0.0000	0.2387
ENSGACG00000002661_ENSGACT00000012846	Y	0.0237	0.2309	0.1025
ENSGACG00000002661_ENSGACT00000012846	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000002664_ENSGACT00000012819	ref_chrXII	0.0000	0.0048	0.0010
ENSGACG00000002664_ENSGACT00000012819	sin	0.0033	0.0783	0.0422
ENSGACG00000002664_ENSGACT00000012819	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000002664_ENSGACT00000012819	tym	0.0033	0.0928	0.0357
ENSGACG00000002664_ENSGACT00000012819	X	0.0052	0.0890	0.0584
ENSGACG00000002664_ENSGACT00000012819	Xprivate	0.0000	0.0000	0.1022
ENSGACG00000002664_ENSGACT00000012819	Y	0.0043	0.0835	0.0509
ENSGACG00000002664_ENSGACT00000012819	Yprivate	0.0000	0.0000	0.0985
ENSGACG00000002671_ENSGACT00000012819	ref_chrXII	0.0000	0.0000	0.0010
ENSGACG00000002671_ENSGACT00000012819	sin	0.0123	0.1479	0.0830
ENSGACG00000002671_ENSGACT00000012819	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000002671_ENSGACT00000012819	tym	0.0108	0.1390	0.0775
ENSGACG00000002671_ENSGACT00000012819	X	0.0107	0.1409	0.0763
ENSGACG00000002671_ENSGACT00000012819	Xprivate	0.0000	0.0000	0.0010
ENSGACG00000002671_ENSGACT00000012819	Y	0.0107	0.1409	0.0763
ENSGACG00000002671_ENSGACT00000012819	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000002695_ENSGACT00000012742	ref_chrXII	0.0000	0.0000	0.0390
ENSGACG00000002695_ENSGACT00000012742	sin	0.0058	0.1630	0.0358
ENSGACG00000002695_ENSGACT00000012742	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000002695_ENSGACT00000012742	tym	0.0058	0.1630	0.0358
ENSGACG00000002695_ENSGACT00000012742	X	0.0057	0.2068	0.0278
ENSGACG00000002695_ENSGACT00000012742	Xprivate	0.0000	0.0000	0.0010
ENSGACG00000002695_ENSGACT00000012742	Y	0.0057	0.2068	0.0278
ENSGACG00000002695_ENSGACT00000012742	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000002699_ENSGACT00000012719	ref_chrXII	0.0000	0.0000	0.0344
ENSGACG00000002699_ENSGACT00000012719	sin	0.0092	0.1276	0.0723
ENSGACG00000002699_ENSGACT00000012719	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000002699_ENSGACT00000012719	tym	0.0092	0.1276	0.0723
ENSGACG00000002699_ENSGACT00000012719	X	0.0092	0.1276	0.0723
ENSGACG00000002699_ENSGACT00000012719	Xprivate	0.0000	0.0000	0.0962
ENSGACG00000002699_ENSGACT00000012719	Y	0.0092	0.1276	0.0723
ENSGACG00000002699_ENSGACT00000012719	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000002707_ENSGACT00000012719	ref_chrXII	0.0016	0.0000	99.0000
ENSGACG00000002707_ENSGACT00000012719	sin	0.0125	0.0937	0.1332
ENSGACG00000002707_ENSGACT00000012719	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000002707_ENSGACT00000012719	tym	0.0107	0.0982	0.1093
ENSGACG00000002707_ENSGACT00000012719	X	0.0116	0.0983	0.1177
ENSGACG00000002707_ENSGACT00000012719	Xprivate	0.0000	0.0000	0.0010
ENSGACG00000002707_ENSGACT00000012719	Y	0.0116	0.0983	0.1177
ENSGACG00000002707_ENSGACT00000012719	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000002717_ENSGACT00000012719	ref_chrXII	0.0000	0.0000	46.7989
ENSGACG00000002717_ENSGACT00000012719	sin	0.0074	0.0912	0.0814
ENSGACG00000002717_ENSGACT00000012719	sinprivate	0.0000	0.0000	99.0000
ENSGACG00000002717_ENSGACT00000012719	tym	0.0072	0.1580	0.0455
ENSGACG00000002717_ENSGACT00000012719	X	0.0074	0.0912	0.0814
ENSGACG00000002717_ENSGACT00000012719	Xprivate	0.0000	0.0000	99.0000
ENSGACG00000002717_ENSGACT00000012719	Y	0.0074	0.0912	0.0814
ENSGACG00000002717_ENSGACT00000012719	Yprivate	0.0000	0.0000	99.0000
ENSGACG00000002750_ENSGACT00000012602	ref_chrXII	0.0000	0.0000	0.0010
ENSGACG00000002750_ENSGACT00000012602	sin	0.0001	0.0666	0.0010
ENSGACG00000002750_ENSGACT00000012602	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000002750_ENSGACT00000012602	tym	0.0000	0.0320	0.0010
ENSGACG00000002750_ENSGACT00000012602	X	0.0000	0.0320	0.0010
ENSGACG00000002750_ENSGACT00000012602	Xprivate	0.0000	0.0000	0.0010
ENSGACG00000002750_ENSGACT00000012602	Y	0.0000	0.0320	0.0010
ENSGACG00000002750_ENSGACT00000012602	Yprivate	0.0000	0.0000	0.0139
ENSGACG00000002756_ENSGACT00000012593	ref_chrXII	0.0017	0.0000	99.0000
ENSGACG00000002756_ENSGACT00000012593	sin	0.0594	0.1858	0.3197
ENSGACG00000002756_ENSGACT00000012593	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000002756_ENSGACT00000012593	tym	0.0561	0.1625	0.3453
ENSGACG00000002756_ENSGACT00000012593	X	0.0554	0.1735	0.3190
ENSGACG00000002756_ENSGACT00000012593	Xprivate	0.0000	0.0000	99.0000
ENSGACG00000002756_ENSGACT00000012593	Y	0.0554	0.1735	0.3190
ENSGACG00000002756_ENSGACT00000012593	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000002760_ENSGACT00000012575	ref_chrXII	0.0000	0.0000	0.0010
ENSGACG00000002760_ENSGACT00000012575	sin	0.0246	0.2348	0.1046
ENSGACG00000002760_ENSGACT00000012575	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000002760_ENSGACT00000012575	tym	0.0336	0.2603	0.1292
ENSGACG00000002760_ENSGACT00000012575	X	0.0246	0.2348	0.1046
ENSGACG00000002760_ENSGACT00000012575	Xprivate	0.0000	0.0000	0.0010
ENSGACG00000002760_ENSGACT00000012575	Y	0.0246	0.2348	0.1046
ENSGACG00000002760_ENSGACT00000012575	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000002762_ENSGACT00000012593	ref_chrXII	0.0000	0.0116	0.0010
ENSGACG00000002762_ENSGACT00000012593	sin	0.0206	0.2103	0.0981
ENSGACG00000002762_ENSGACT00000012593	sinprivate	0.0000	0.0000	99.0000
ENSGACG00000002762_ENSGACT00000012593	tym	0.0275	0.1467	0.1871
ENSGACG00000002762_ENSGACT00000012593	X	0.0262	0.1471	0.1780
ENSGACG00000002762_ENSGACT00000012593	Xprivate	0.0000	0.0000	0.2158
ENSGACG00000002762_ENSGACT00000012593	Y	0.0210	0.1405	0.1497
ENSGACG00000002762_ENSGACT00000012593	Yprivate	0.0000	0.0000	0.2008
ENSGACG00000002762_ENSGACT00000012602	ref_chrXII	0.0000	0.0080	0.0010
ENSGACG00000002762_ENSGACT00000012602	sin	0.0193	0.0789	0.2449
ENSGACG00000002762_ENSGACT00000012602	sinprivate	0.0000	0.0000	77.4506
ENSGACG00000002762_ENSGACT00000012602	tym	0.0156	0.1124	0.1386
ENSGACG00000002762_ENSGACT00000012602	X	0.0116	0.0876	0.1326
ENSGACG00000002762_ENSGACT00000012602	Xprivate	0.0000	0.0000	99.0000
ENSGACG00000002762_ENSGACT00000012602	Y	0.0116	0.0876	0.1326
ENSGACG00000002762_ENSGACT00000012602	Yprivate	0.0000	0.0000	99.0000
ENSGACG00000002762_ENSGACT00000012623	ref_chrXII	0.0000	0.0000	99.0000
ENSGACG00000002762_ENSGACT00000012623	sin	0.0297	0.0918	0.3232
ENSGACG00000002762_ENSGACT00000012623	sinprivate	0.0000	0.0000	99.0000
ENSGACG00000002762_ENSGACT00000012623	tym	0.0251	0.1211	0.2069
ENSGACG00000002762_ENSGACT00000012623	X	0.0249	0.1192	0.2092
ENSGACG00000002762_ENSGACT00000012623	Xprivate	0.0000	0.0000	99.0000
ENSGACG00000002762_ENSGACT00000012623	Y	0.0249	0.1192	0.2092
ENSGACG00000002762_ENSGACT00000012623	Yprivate	0.0000	0.0000	99.0000
ENSGACG00000002777_ENSGACT00000012575	ref_chrXII	0.0000	0.0000	0.0010
ENSGACG00000002777_ENSGACT00000012575	sin	0.0002	0.2236	0.0010
ENSGACG00000002777_ENSGACT00000012575	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000002777_ENSGACT00000012575	tym	0.0002	0.2236	0.0010
ENSGACG00000002777_ENSGACT00000012575	X	0.0079	0.1954	0.0407
ENSGACG00000002777_ENSGACT00000012575	Xprivate	0.0000	0.0000	0.0010
ENSGACG00000002777_ENSGACT00000012575	Y	0.0079	0.1954	0.0407
ENSGACG00000002777_ENSGACT00000012575	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000002783_ENSGACT00000012614	ref_chrXII	0.0000	0.0243	0.0010
ENSGACG00000002783_ENSGACT00000012614	sin	0.0001	0.0784	0.0010
ENSGACG00000002783_ENSGACT00000012614	sinprivate	0.0000	0.0000	99.0000
ENSGACG00000002783_ENSGACT00000012614	tym	0.0001	0.0514	0.0010
ENSGACG00000002783_ENSGACT00000012614	X	0.0001	0.0514	0.0010
ENSGACG00000002783_ENSGACT00000012614	Xprivate	0.0000	0.0000	99.0000
ENSGACG00000002783_ENSGACT00000012614	Y	0.0001	0.0514	0.0010
ENSGACG00000002783_ENSGACT00000012614	Yprivate	0.0000	0.0000	0.3683
ENSGACG00000002783_ENSGACT00000012623	ref_chrXII	0.0000	0.0129	0.0010
ENSGACG00000002783_ENSGACT00000012623	sin	0.0060	0.1101	0.0545
ENSGACG00000002783_ENSGACT00000012623	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000002783_ENSGACT00000012623	tym	0.0059	0.0933	0.0628
ENSGACG00000002783_ENSGACT00000012623	X	0.0060	0.1096	0.0547
ENSGACG00000002783_ENSGACT00000012623	Xprivate	0.0000	0.0000	0.1226
ENSGACG00000002783_ENSGACT00000012623	Y	0.0060	0.1096	0.0547
ENSGACG00000002783_ENSGACT00000012623	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000002792_ENSGACT00000012500	ref_chrXII	0.0000	0.0040	0.0010
ENSGACG00000002792_ENSGACT00000012500	sin	0.0038	0.2958	0.0128
ENSGACG00000002792_ENSGACT00000012500	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000002792_ENSGACT00000012500	tym	0.0038	0.2887	0.0131
ENSGACG00000002792_ENSGACT00000012500	X	0.0038	0.2670	0.0143
ENSGACG00000002792_ENSGACT00000012500	Xprivate	0.0000	0.0000	0.0854
ENSGACG00000002792_ENSGACT00000012500	Y	0.0038	0.2627	0.0145
ENSGACG00000002792_ENSGACT00000012500	Yprivate	0.0000	0.0000	0.0681
ENSGACG00000002797_ENSGACT00000012473	ref_chrXII	0.0000	0.0000	0.0010
ENSGACG00000002797_ENSGACT00000012473	sin	0.0001	0.0852	0.0010
ENSGACG00000002797_ENSGACT00000012473	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000002797_ENSGACT00000012473	tym	0.0001	0.1348	0.0010
ENSGACG00000002797_ENSGACT00000012473	X	0.0001	0.0852	0.0010
ENSGACG00000002797_ENSGACT00000012473	Xprivate	0.0000	0.0000	0.0010
ENSGACG00000002797_ENSGACT00000012473	Y	0.0001	0.0852	0.0010
ENSGACG00000002797_ENSGACT00000012473	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000002805_ENSGACT00000012459	ref_chrXII	0.0009	0.0089	0.1000
ENSGACG00000002805_ENSGACT00000012459	sin	0.0202	0.1867	0.1082
ENSGACG00000002805_ENSGACT00000012459	sinprivate	0.0000	0.0000	99.0000
ENSGACG00000002805_ENSGACT00000012459	tym	0.0240	0.2133	0.1127
ENSGACG00000002805_ENSGACT00000012459	X	0.0192	0.1983	0.0970
ENSGACG00000002805_ENSGACT00000012459	Xprivate	0.0000	0.0000	0.3123
ENSGACG00000002805_ENSGACT00000012459	Y	0.0183	0.1986	0.0922
ENSGACG00000002805_ENSGACT00000012459	Yprivate	0.0000	0.0000	0.1838
ENSGACG00000002806_ENSGACT00000012456	ref_chrXII	0.0174	0.1900	0.0916
ENSGACG00000002806_ENSGACT00000012456	sin	0.0359	0.8077	0.0444
ENSGACG00000002806_ENSGACT00000012456	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000002806_ENSGACT00000012456	tym	0.0175	0.0002	99.0000
ENSGACG00000002806_ENSGACT00000012456	X	0.0175	0.0002	99.0000
ENSGACG00000002806_ENSGACT00000012456	Xprivate	0.0000	0.0000	1.9801
ENSGACG00000002806_ENSGACT00000012456	Y	0.0175	0.0002	99.0000
ENSGACG00000002806_ENSGACT00000012456	Yprivate	0.0000	0.0000	2.0000
ENSGACG00000002830_ENSGACT00000012395	ref_chrXII	0.0000	0.0000	0.0010
ENSGACG00000002830_ENSGACT00000012395	sin	0.0194	0.1445	0.1344
ENSGACG00000002830_ENSGACT00000012395	sinprivate	0.0000	0.0000	0.0657
ENSGACG00000002830_ENSGACT00000012395	tym	0.0225	0.1343	0.1673
ENSGACG00000002830_ENSGACT00000012395	X	0.0194	0.1410	0.1373
ENSGACG00000002830_ENSGACT00000012395	Xprivate	0.0000	0.0000	0.1425
ENSGACG00000002830_ENSGACT00000012395	Y	0.0193	0.1367	0.1412
ENSGACG00000002830_ENSGACT00000012395	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000002840_ENSGACT00000012380	ref_chrXII	0.0000	0.0037	0.0010
ENSGACG00000002840_ENSGACT00000012380	sin	0.0343	0.1247	0.2748
ENSGACG00000002840_ENSGACT00000012380	sinprivate	0.0000	0.0000	99.0000
ENSGACG00000002840_ENSGACT00000012380	tym	0.0330	0.1124	0.2938
ENSGACG00000002840_ENSGACT00000012380	X	0.0345	0.1222	0.2828
ENSGACG00000002840_ENSGACT00000012380	Xprivate	0.0000	0.0000	99.0000
ENSGACG00000002840_ENSGACT00000012380	Y	0.0345	0.1222	0.2828
ENSGACG00000002840_ENSGACT00000012380	Yprivate	0.0000	0.0000	99.0000
ENSGACG00000002844_ENSGACT00000012369	ref_chrXII	0.0000	0.0000	99.0000
ENSGACG00000002844_ENSGACT00000012369	sin	0.0192	0.1733	0.1108
ENSGACG00000002844_ENSGACT00000012369	sinprivate	0.0000	0.0000	0.0888
ENSGACG00000002844_ENSGACT00000012369	tym	0.0219	0.1928	0.1135
ENSGACG00000002844_ENSGACT00000012369	X	0.0192	0.1733	0.1108
ENSGACG00000002844_ENSGACT00000012369	Xprivate	0.0000	0.0000	99.0000
ENSGACG00000002844_ENSGACT00000012369	Y	0.0192	0.1733	0.1108
ENSGACG00000002844_ENSGACT00000012369	Yprivate	0.0000	0.0000	0.1015
ENSGACG00000002847_ENSGACT00000012374	ref_chrXII	0.0000	0.0133	0.0010
ENSGACG00000002847_ENSGACT00000012374	sin	0.0057	0.2838	0.0200
ENSGACG00000002847_ENSGACT00000012374	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000002847_ENSGACT00000012374	tym	0.0085	0.2990	0.0284
ENSGACG00000002847_ENSGACT00000012374	X	0.0057	0.2433	0.0233
ENSGACG00000002847_ENSGACT00000012374	Xprivate	0.0000	0.0000	0.0967
ENSGACG00000002847_ENSGACT00000012374	Y	0.0057	0.2217	0.0257
ENSGACG00000002847_ENSGACT00000012374	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000002852_ENSGACT00000012347	ref_chrXII	0.0000	0.0000	0.0350
ENSGACG00000002852_ENSGACT00000012347	sin	0.0116	0.0526	0.2195
ENSGACG00000002852_ENSGACT00000012347	sinprivate	0.0000	0.0000	0.1744
ENSGACG00000002852_ENSGACT00000012347	tym	0.0130	0.0469	0.2779
ENSGACG00000002852_ENSGACT00000012347	X	0.0116	0.0417	0.2772
ENSGACG00000002852_ENSGACT00000012347	Xprivate	0.0000	0.0000	0.2196
ENSGACG00000002852_ENSGACT00000012347	Y	0.0116	0.0417	0.2772
ENSGACG00000002852_ENSGACT00000012347	Yprivate	0.0000	0.0000	0.1974
ENSGACG00000002862_ENSGACT00000012335	ref_chrXII	0.0000	0.0000	0.7984
ENSGACG00000002862_ENSGACT00000012335	sin	0.0212	0.0174	1.2203
ENSGACG00000002862_ENSGACT00000012335	sinprivate	0.0000	0.0000	0.9293
ENSGACG00000002862_ENSGACT00000012335	tym	0.0283	0.0267	1.0577
ENSGACG00000002862_ENSGACT00000012335	X	0.0212	0.0174	1.2218
ENSGACG00000002862_ENSGACT00000012335	Xprivate	0.0000	0.0000	0.0010
ENSGACG00000002862_ENSGACT00000012335	Y	0.0212	0.0174	1.2218
ENSGACG00000002862_ENSGACT00000012335	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000002865_ENSGACT00000012316	ref_chrXII	0.0000	0.0023	0.0010
ENSGACG00000002865_ENSGACT00000012316	sin	0.0078	0.2466	0.0315
ENSGACG00000002865_ENSGACT00000012316	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000002865_ENSGACT00000012316	tym	0.0068	0.2570	0.0265
ENSGACG00000002865_ENSGACT00000012316	X	0.0073	0.2513	0.0289
ENSGACG00000002865_ENSGACT00000012316	Xprivate	0.0000	0.0000	0.0010
ENSGACG00000002865_ENSGACT00000012316	Y	0.0073	0.2488	0.0292
ENSGACG00000002865_ENSGACT00000012316	Yprivate	0.0000	0.0000	0.1064
ENSGACG00000002873_ENSGACT00000012316	ref_chrXII	0.0000	0.0000	0.0010
ENSGACG00000002873_ENSGACT00000012316	sin	0.0127	0.0958	0.1330
ENSGACG00000002873_ENSGACT00000012316	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000002873_ENSGACT00000012316	tym	0.0127	0.0849	0.1496
ENSGACG00000002873_ENSGACT00000012316	X	0.0154	0.0951	0.1616
ENSGACG00000002873_ENSGACT00000012316	Xprivate	0.0000	0.0000	99.0000
ENSGACG00000002873_ENSGACT00000012316	Y	0.0154	0.0951	0.1616
ENSGACG00000002873_ENSGACT00000012316	Yprivate	0.0000	0.0000	99.0000
ENSGACG00000002876_ENSGACT00000012316	ref_chrXII	0.0000	0.0000	0.0010
ENSGACG00000002876_ENSGACT00000012316	sin	0.0303	0.0842	0.3595
ENSGACG00000002876_ENSGACT00000012316	sinprivate	0.0000	0.0000	0.2813
ENSGACG00000002876_ENSGACT00000012316	tym	0.0305	0.0976	0.3121
ENSGACG00000002876_ENSGACT00000012316	X	0.0321	0.0846	0.3791
ENSGACG00000002876_ENSGACT00000012316	Xprivate	0.0000	0.0000	0.0010
ENSGACG00000002876_ENSGACT00000012316	Y	0.0320	0.0779	0.4105
ENSGACG00000002876_ENSGACT00000012316	Yprivate	0.0000	0.0000	0.2997
ENSGACG00000002881_ENSGACT00000012316	ref_chrXII	0.0007	0.0046	0.1528
ENSGACG00000002881_ENSGACT00000012316	sin	0.0150	0.1096	0.1370
ENSGACG00000002881_ENSGACT00000012316	sinprivate	0.0000	0.0000	0.1020
ENSGACG00000002881_ENSGACT00000012316	tym	0.0163	0.1142	0.1428
ENSGACG00000002881_ENSGACT00000012316	X	0.0168	0.1084	0.1553
ENSGACG00000002881_ENSGACT00000012316	Xprivate	0.0000	0.0000	0.2188
ENSGACG00000002881_ENSGACT00000012316	Y	0.0168	0.1066	0.1576
ENSGACG00000002881_ENSGACT00000012316	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000002887_ENSGACT00000012316	ref_chrXII	0.0000	0.0000	0.0010
ENSGACG00000002887_ENSGACT00000012316	sin	0.0074	0.2077	0.0358
ENSGACG00000002887_ENSGACT00000012316	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000002887_ENSGACT00000012316	tym	0.0079	0.1973	0.0403
ENSGACG00000002887_ENSGACT00000012316	X	0.0079	0.2052	0.0383
ENSGACG00000002887_ENSGACT00000012316	Xprivate	0.0000	0.0000	0.0010
ENSGACG00000002887_ENSGACT00000012316	Y	0.0079	0.2052	0.0383
