CHROM	treeNumber	windowNumber	BIN_START	BIN_END	biggestMonoPhyletic	expected	switchesNeeded	SDRbool
chrII	211	w210	21000000	21100000	3	15	12	False
chrII	212	w211	21100000	21200000	3	15	12	False
chrII	213	w212	21200000	21300000	3	15	12	False
chrII	214	w213	21300000	21400000	4	15	11	False
chrII	215	w214	21400000	21500000	2	15	13	False
chrII	216	w215	21500000	21600000	2	15	13	False
chrII	217	w216	21600000	21700000	3	15	12	False
chrII	218	w217	21700000	21800000	3	15	12	False
chrII	219	w218	21800000	21900000	2	15	13	False
chrII	220	w219	21900000	22000000	3	15	12	False
chrII	221	w220	22000000	22100000	2	15	13	False
chrII	222	w221	22100000	22200000	2	15	13	False
chrII	223	w222	22200000	22300000	2	15	13	False
chrII	224	w223	22300000	22400000	3	15	12	False
chrII	225	w224	22400000	22500000	5	15	10	False
chrII	226	w225	22500000	22600000	4	15	11	False
chrII	227	w226	22600000	22700000	2	15	13	False
chrII	228	w227	22700000	22800000	4	15	11	False
chrII	229	w228	22800000	22900000	3	15	12	False
chrII	230	w229	22900000	23000000	4	15	11	False
chrII	231	w230	23000000	23100000	4	15	11	False
chrII	232	w231	23100000	23200000	2	15	13	False
chrII	233	w232	23200000	23300000	2	15	13	False
chrII	234	w233	23300000	23400000	4	15	11	False
chrII	235	w234	23400000	23500000	3	15	12	False
chrII	236	w235	23500000	23600000	2	15	13	False
chrII	237	w236	23600000	23700000	2	15	13	False
chrIII	1	w0	0	100000	3	15	12	False
chrIII	2	w1	100000	200000	2	15	13	False
chrIII	3	w2	200000	300000	3	15	12	False
chrIII	4	w3	300000	400000	3	15	12	False
chrIII	5	w4	400000	500000	2	15	13	False
chrIII	6	w5	500000	600000	2	15	13	False
chrIII	7	w6	600000	700000	2	15	13	False
chrIII	8	w7	700000	800000	3	15	12	False
chrIII	9	w8	800000	900000	2	15	13	False
chrIII	10	w9	900000	1000000	3	15	12	False
chrIII	11	w10	1000000	1100000	4	15	11	False
chrIII	12	w11	1100000	1200000	3	15	12	False
chrIII	13	w12	1200000	1300000	4	15	11	False
chrIII	14	w13	1300000	1400000	3	15	12	False
chrIII	15	w14	1400000	1500000	2	15	13	False
chrIII	16	w15	1500000	1600000	4	15	11	False
chrIII	17	w16	1600000	1700000	3	15	12	False
chrIII	18	w17	1700000	1800000	2	15	13	False
chrIII	19	w18	1800000	1900000	4	15	11	False
chrIII	20	w19	1900000	2000000	7	15	8	False
chrIII	21	w20	2000000	2100000	6	15	9	False
chrIII	22	w21	2100000	2200000	3	15	12	False
chrIII	23	w22	2200000	2300000	2	15	13	False
